OID_,FEATUREID,FMEAS,Distance,GIS_Key,lat_mean,lon_mean,LocationCl,flowDem,flowDetail,flowTrunca,nodeID,NodeLon,NodeLat
,"914,037",0.444900000002000,-0.000000001862645,118-1,41.257221999999999,-77.692222000000001,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,118-1,-77.691092315999995,41.257219917000000
,"898,662",1.755877700000000,0.000000003725290,1184-1,41.507669999999997,-76.643730000000005,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1184-1,-76.644006473000005,41.507712269000002
,"913,173",1.139100000000000,-0.000000004165001,122-1,41.275832999999999,-77.661111000000005,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,122-1,-77.660844105999999,41.275769928999999
,"915,691",2.104900000010000,0.000000003725290,124-1,41.251666999999998,-77.991111000000004,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,124-1,-77.991229231999995,41.252027816000002
,"911,526",0.234899999996000,-0.000000001862645,129-1,41.300832999999997,-77.559443999999999,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,129-1,-77.559311058999995,41.300869646000002
,"912,534",0.061268728006200,-0.000000001678966,129-2,41.275556000000002,-77.580832999999998,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,129-2,-77.580673598999994,41.275379839000003
,"916,742",0.817494900002000,0.000000000000000,131-2,41.293332999999997,-78.515833000000001,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,131-2,-78.515516022000000,41.293289215000001
,"915,008",1.217067600000000,0.000000000000000,132-1,41.250278000000002,-77.837500000000006,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,132-1,-77.837365027999994,41.250258604000003
,"915,001",3.731300000000000,0.000000003725290,133-1,41.267778000000000,-77.874167000000000,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,133-1,-77.874329281000001,41.267801265999999
,"922,135",3.314209264000000,0.000000001317089,1373-1,40.996920000000003,-77.527294999999995,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1373-1,-77.527291379000005,40.996915977999997
,"898,957",0.053440099998900,-0.000000003725290,1423-1,41.636389000000001,-77.559443999999999,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1423-1,-77.559892586999993,41.636454141000002
,"911,527",0.752099999998000,-0.000000001317089,143-1,41.298889000000003,-77.554444000000004,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,143-1,-77.554345063000000,41.298779629999999
,"902,270",0.307299999999000,-0.000000001862645,1471-1,41.555556000000003,-77.607221999999993,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1471-1,-77.607226401999995,41.555571444999998
,"902,069",0.386597400002000,-0.000000001862645,1471-2,41.551209615399998,-77.563312307700002,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1471-2,-77.563268239999999,41.551375540999999
,"901,728",0.634699999995000,0.000000000000000,1474-1,41.583888999999999,-77.662499999999994,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1474-1,-77.662117726000005,41.584002024999997
,"892,528",0.810396599995000,-0.000000003725290,1478-1,41.827221999999999,-77.706389000000001,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1478-1,-77.706238889999995,41.827200433999998
,"930,001",1.815364500010000,0.000000000000000,1493-1,40.860370000000003,-78.115066999999996,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1493-1,-78.115107346000002,40.860211837000001
,"910,409",1.620631000000000,-0.000000003725290,1498-2,41.369712310300002,-77.828697172399998,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1498-2,-77.829007923000006,41.369756916999997
