"GIS_Key","lat_mean","lon_mean"
"2198-1",41.161852,-77.802963
"2199-3",40.8408927142857,-77.9809327142857
"2199-4",40.96734705,-77.73434725
"2200-1",41.094167,-77.234722
"2200-2",41.1128727871854,-77.2414034645309
"2205-1",41.104722,-77.331389
"2207-2",40.8510997337278,-77.520006591716
"2207-3",40.8427260598802,-77.4267194011976
"2207-4",40.8452209061224,-77.3709037877551
"2207-5",40.846389,-77.3175
"2212-1",41.110556,-75.845556
"2217-2",40.7843332,-78.5657776
"2218-1",41.31736125,-76.14041675
"2218-2",41.3071225384615,-76.145883
"2218-3",41.2772689277108,-76.199665686747
"2218-4",41.2259927733333,-76.2399221066667
"2219-1",40.770833,-77.27
"2220-2",40.750833,-78.572222
"2222-1",41.243333,-76.281667
"2222-2",41.2036714347826,-76.2740092608696
"2231-2",40.8132068709677,-77.2524740967742
"2231-4",40.778345,-77.216481
"2235-2",40.759531372549,-78.7686710196079
"2237-1",40.776944,-78.322778
"2239-1",41.151389,-76.536389
"2244-1",41.194167,-76.3525
"2244-2",41.1691862142857,-76.3656152857143
"2245-1",40.740833,-78.396667
"2246-2",41.1618334,-76.1598336
"2247-2",41.149722,-76.17
"2248-1",41.206944,-76.522222
"2248-2",41.175833,-76.525278
"2249-1",41.178333,-76.509722
"2250-1",41.168333,-76.537222
"2251-1",40.9054479677419,-77.6452736290323
"2256-1",40.8105423333333,-78.4610977619048
"2259-2",41.015833,-77.928611
"2267-2",41.329167,-79.498056
"2268-1",41.3668455111111,-75.2038829777778
"2268-2",41.3054293181818,-75.3217420909091
"2278-2",41.340556,-79.006944
"2280-2",41.744167,-75.449444
"2280-4",41.7299878181818,-75.4397726363636
"2287-2",41.356389,-78.800833
"2288-1",41.3436113636364,-78.7917932727273
"2289-3",41.635833,-75.260278
"2294-2",41.6910298823529,-75.3110787058824
"2297-1",41.085,-75.896389
"2298-1",40.554167,-78.714167
"2299-2",40.589444,-78.504444
"2300-1",41.095278,-75.875
"2303-1",40.670556,-78.600556
"2308-2",41.106667,-75.8375
"2315-5",41.09877,-76.104278
"232-1",39.809444,-76.653333
"2334-1",41.2633326923077,-79.2691663846154
"2335-1",41.286111,-79.879167
"2336-1",41.275556,-79.948056
"2337-2",41.273889,-78.68
"2344-1",41.331166,-75.376332
"2344-2",41.3368459655172,-75.3718777586207
"2352-1",41.306667,-78.802222
"2353-1",41.299444,-79.928333
"2355-1",41.313333,-79.068056
"2356-1",41.3838133636364,-75.2287874545455
"2361-1",41.4007037333333,-75.8076666666667
"2364-2",41.3102561153846,-79.2218373846154
"2365-2",41.429722,-74.826111
"2371-2",41.3216025641026,-79.0816738717949
"2375-2",41.3514560689655,-79.2252586206897
"2376-3",41.322222,-74.795278
"2383-1",41.954722,-75.705
"2389-1",41.963333,-75.517778
"2392-2",41.873056,-75.5080555
"2392-3",41.899444,-75.474167
"2392-4",41.919167,-75.488889
"2403-2",41.966111,-75.501389
"2404-1",41.983056,-75.491667
"243-1",39.905278,-76.316667
"2434-3",41.18728896,-75.07402264
"2438-2",41.1087597906977,-74.9866987209302
"2439-2",41.12957475,-75.271892375
"2440-2",41.119722,-75.219167
"2443-2",41.1308312684825,-74.9592002898833
"2444-2",41.160104,-75.33586825
"2444-3",41.142778,-75.333333
"2444-4",41.1355954285714,-75.3202775714286
"2446-2",41.134444,-75.478056
"245-1",39.905278,-76.286944
"2450-2",41.164444,-75.125556
"2451-2",41.178056,-75.698611
"2451-3",41.155,-75.723056
"2453-1",41.176667,-75.449167
"2455-2",41.163333,-75.472222
"2457-1",41.167222,-75.2925
"2459-2",40.793788,-78.7601012727273
"2460-2",41.18,-75.288611
"2462-1",40.825,-78.108333
"2462-2",40.808889,-78.066667
"2464-1",41.196389,-75.258611
"2465-1",40.7701194285714,-77.6286442857143
"2465-2",40.80381,-77.62376
"2466-1",40.8137186206897,-77.8302506896552
"2472-2",41.229722,-75.556667
"2474-3",41.230833,-74.893333
"2474-4",41.225,-74.867222
"2478-2",41.2431687037037,-74.8713273703704
"2481-4",41.2875,-74.8325
"2483-1",40.820278,-77.408056
"2484-3",41.3214210769231,-74.8057944230769
"2486-1",40.803333,-78.854446
