"child_b","parent_b","dist_b","NodeLat","NodeLon"
"N_929322",9506,0.83033008589,40.817513227,-77.734650261
"N_929331",9471,1.3476093065,40.923739622,-78.483485536
"N_929332",9433,1.92639610307,40.928867824,-78.46941631
"N_929333",9467,0.959558441227,40.88480893,-78.203955124
"N_929341",9452,0.95441125497,40.945800825,-78.617184562
"N_929349",9418,2.01639610307,40.857581544,-77.949692614
"N_929350",9431,2.38367532368,40.840023554,-77.839136602
"N_929374",9449,1.24154328933,40.846577272,-77.90539811
"N_929379",9502,2.20003571337,40.946635748,-78.660817218
"N_929380",9502,3.21808657865,40.946635748,-78.660817218
"N_929381",9476,0.827132034356,40.841955984,-77.914993191
"N_929382",9475,1.30411688245,40.834269223,-77.855970902
"N_929400",9615,0.574705627485,40.950985821,-78.694446917
"N_929401",9615,1.09455844123,40.950985821,-78.694446917
"N_929402",9474,4.1741883092,40.850132978,-77.966223479
"N_929427",9556,1.44169047558,40.854840898,-78.014331699
"N_929437",9556,1.74639610307,40.854840898,-78.014331699
"N_929458",9476,0.314558441227,40.841955984,-77.914993191
"N_929468",9521,0.658492424049,40.92547793,-78.525427999
"N_929469",10962,0.294899999994,40.874665932,-78.117030316
"N_929485",9445,1.72367532368,40.922088396,-78.436404995
"N_929486",9399,3.03400540957,40.832509791,-77.755224355
"N_929501",9521,0.514705627485,40.92547793,-78.525427999
"N_929502",9463,1.02941125497,40.888503755,-78.222379974
"N_929507",9547,3.30249783362,40.940467041,-78.643713544
"N_929508",9547,1.43654328933,40.940467041,-78.643713544
"N_929509",9489,1.89683766184,40.912411246,-78.43736864
"N_929510",9459,1.63838095117,40.864026787,-78.032799844
"N_929518",9435,2.38624891681,40.965695382,-78.740139503
"N_929519",9461,1.77639610307,40.881132647,-78.168356468
"N_929520",9408,2.11367532368,40.876728398,-78.075948882
"N_929521",9499,0.075,40.861604719,-78.082737842
"N_929532",9554,0.664705627485,40.941934252,-78.658327436
"N_929533",9554,0.674558441227,40.941934252,-78.658327436
"N_929534",9492,0.339852813742,40.882833985,-78.228566717
"N_929535",9498,0.759852813742,40.872077017,-78.156413493
"N_929536",9486,0.409705627485,40.840155589,-77.917649435
"N_929544",9527,0.866984848098,40.811151301,-77.735942125
"N_929545",9527,3.28066017178,40.811151301,-77.735942125
"N_929556",9474,1.57669047558,40.850132978,-77.966223479
"N_929574",9508,2.13382250994,40.8457091,-77.97722431
"N_929575",9550,0.755771644663,40.83187712,-77.882891445
"N_929585",9456,1.99003571337,40.873249437,-78.101316926
