                  Estimate Std. Error
Epsiloninput_d  0.32155450 0.76267244
Epsiloninput_d  0.07192611 0.82116093
Epsiloninput_d -0.04239284 0.80681531
Epsiloninput_d  0.18624416 0.82064385
Epsiloninput_d  0.30055016 0.80523865
Epsiloninput_d  0.32155450 0.69882712
Epsiloninput_d  0.21773859 0.66309022
Epsiloninput_d  0.30055016 0.86130125
Epsiloninput_d -0.15671174 0.98849157
Epsiloninput_d  0.18624416 0.87572078
Epsiloninput_d  0.18624416 0.97660024
Epsiloninput_d  0.18624416 0.92753299
Epsiloninput_d  0.15542824 0.71525338
Epsiloninput_d  0.18624416 0.92753299
Epsiloninput_d  0.15542824 0.77782900
Epsiloninput_d  0.05171629 0.52487169
Epsiloninput_d  0.18624416 0.97660024
Epsiloninput_d -0.12712773 0.91099939
Epsiloninput_d  0.09311790 0.75350859
Epsiloninput_d -0.12712773 0.85818956
Epsiloninput_d -0.12712773 0.91099939
Epsiloninput_d -0.12712773 1.05366578
Epsiloninput_d -0.12712773 0.96091126
Epsiloninput_d -0.12712773 1.00835560
Epsiloninput_d -0.12712773 0.96091126
Epsiloninput_d -0.12712773 1.05366578
Epsiloninput_d  0.09311790 0.81314560
Epsiloninput_d  0.09311790 1.01731412
Epsiloninput_d  0.09311790 0.86869806
Epsiloninput_d  0.09311790 0.92090547
Epsiloninput_d  0.09311790 1.01731412
Epsiloninput_d  0.09311790 0.97030792
Epsiloninput_d -0.12712773 1.00835560
Epsiloninput_d  0.09311790 0.86869806
Epsiloninput_d  0.09311790 0.92090547
Epsiloninput_d  0.09311790 0.92090547
Epsiloninput_d  0.09311790 0.92090547
Epsiloninput_d  0.09311790 0.97030792
Epsiloninput_d  0.09311790 1.01731412
Epsiloninput_d  0.09311790 0.97030792
Epsiloninput_d  0.09311790 0.97030792
Epsiloninput_d  0.09311790 1.01731412
Epsiloninput_d  0.09311790 1.01731412
Epsiloninput_d  0.09311790 1.01731412
Epsiloninput_d  0.09311790 1.06224224
Epsiloninput_d  0.09311790 1.10534572
Epsiloninput_d  0.09311790 1.06224224
Epsiloninput_d  0.09311790 1.10534572
Epsiloninput_d -1.63894057 0.80551328
Epsiloninput_d -1.01017322 0.78263654
Epsiloninput_d -1.53634373 0.77150373
Epsiloninput_d -1.42885739 0.76726905
Epsiloninput_d -0.48355504 0.96036533
Epsiloninput_d -0.26167510 0.90254233
Epsiloninput_d -0.26301018 0.95286026
Epsiloninput_d -0.84781547 0.99431573
Epsiloninput_d -0.72726674 0.90319453
Epsiloninput_d -0.23141311 1.02435561
Epsiloninput_d -0.56674897 0.96488194
Epsiloninput_d -1.61841220 0.88674780
Epsiloninput_d  0.52918634 0.72505488
Epsiloninput_d -0.15671174 0.77678397
Epsiloninput_d -1.34573494 0.95142095
Epsiloninput_d -1.21270417 0.99054665
Epsiloninput_d -0.71593881 0.89357651
Epsiloninput_d  0.03080756 0.77990515
Epsiloninput_d -0.12712773 0.80284015
Epsiloninput_d -0.64074920 0.82173617
Epsiloninput_d -0.97116015 1.00477956
Epsiloninput_d -1.42640761 0.93590880
Epsiloninput_d -0.08367361 0.57285249
Epsiloninput_d -0.05396432 0.69247492

Maximum gradient component: 0.0001158799 
