"","child_name","N_100","rho_b"
"1","N_788920",11.5959559374821,0.501262953447995
"2","N_788921",11.6142579984351,0.594608059665056
"3","N_789065",11.6859508868999,0.468940576738194
"4","N_789072",11.831586118826,0.927743486328553
"5","N_789270",11.8380770717382,0.206969694538586
"6","N_789271",11.8524395931416,0.217845388211956
"7","N_789288",13.187087933939,0.286044181306628
"8","N_789289",12.6599237150033,0.902644575747351
"9","N_789655",11.3052617505947,0.148031515415549
"10","N_789697",11.1466948297586,0.419136581828044
"11","N_789830",10.8934863795096,0.382077414802721
"12","N_789847",10.9113485946311,0.364487118368765
"13","N_789893",11.5992607639945,0.108194741892306
"14","N_789894",11.6342871312187,0.146644888265852
"15","N_790040",9.07696240028426,0.889205948786657
"16","N_790051",12.1677683400634,0.23707228472975
"17","N_790052",11.3399217896353,0.00754477506247482
"18","N_790053",8.73757017299732,0.735445220769297
"19","N_790087",12.7203459663808,0.334687358464056
"20","N_790155",8.8966704060482,0.4439106238909
"21","N_790178",10.3762782821966,0.165092572523801
"22","N_790190",12.7551381432138,0.00594491757807709
"23","N_790205",12.0050124894707,0.320101584356899
"24","N_790274",11.851322778185,0.634634759483988
"25","N_790275",8.81683225619852,0.199095693854424
"26","N_790276",8.05905423467957,0.504164430189933
"27","N_790294",11.5916134352732,0.406315853153432
"28","N_790295",11.7151242563647,0.35280574822058
"29","N_790348",10.4657316696084,0.252449692098841
"30","N_790349",10.3372392798904,0.302882222102756
"31","N_790392",11.5146503745601,0.452944875700932
"32","N_790393",11.5603218101088,0.28244708131825
"33","N_790440",6.91374569374892,0.916286301545466
"34","N_790441",6.45981096383773,0.69260183332558
"35","N_790482",6.69550565457876,0.617465529718714
"36","N_790483",9.02820362119558,0.503090679347272
"37","N_790506",11.5025303862483,0.330700122248036
"38","N_790507",10.7243342330708,0.141003622675497
"39","N_790594",7.78487476193018,0.468940576738194
"40","N_790725",10.9077212881669,0.862925941404775
"41","N_790766",10.8495469047522,0.124471895977483
"42","N_790783",9.05235058167192,0.313578476183591
"43","N_790837",10.7055868218173,0.40172606696547
"44","N_790838",10.073106532753,0.757842862216167
"45","N_790861",11.115808001767,0.143503464234053
"46","N_790874",11.196119576524,0.291798881624208
"47","N_790924",11.390876567916,0.133762361428678
"48","N_790925",11.2992590485647,0.481466400573086
"49","N_791011",11.1963190625122,0.596140309729658
"50","N_791056",11.2969475734256,0.293175214174679
"51","N_791057",11.371043938552,0.40172606696547
"52","N_791079",10.1826455223129,0.226119767457192
"53","N_791089",10.0187202843604,0.958460999069277
"54","N_791090",11.0849219345309,0.132168808166684
"55","N_791114",11.4465549468396,0.15346238634344
"56","N_791115",11.4381449950401,0.457631741762277
"57","N_791127",10.9888470532406,0.18935780936864
"58","N_791170",11.4454701203932,0.138252255553282
"59","N_791171",11.4352047472457,0.431901191090488
"60","N_791184",11.4266485027608,0.675614903692632
"61","N_791185",11.4202133251291,0.913931185271228
"62","N_791227",11.3922816914302,0.263390677707499
"63","N_791320",9.44777513244325,0.594608059665056
"64","N_791321",9.99498768292054,0.280398551595214
"65","N_791456",11.4493746228611,0.0469412610717397
"66","N_791488",11.4342434686596,0.385860559108964
"67","N_791556",11.4155628239688,0.52489426261027
"68","N_791601",11.4170496711416,0.496129235416817
"69","N_791626",11.3936322337605,0.211858291986012
"70","N_791627",11.4180170172963,0.10119963065597
"71","N_791699",8.67635751427946,0.255386499415751
"72","N_791749",6.31476701279448,0.368423937421762
"73","N_791773",7.51342765622777,0.61271657100716
"74","N_791780",10.7011362814822,0.147114616882952
"75","N_791781",11.2801959072287,0.0176792118875896
"76","N_791789",11.2751358032923,0.301460319291454
"77","N_791790",11.2145009678217,0.458119845177283
"78","N_791874",11.1382942476781,0.0532089780028896
"79","N_791875",9.18541279937508,0.238869557195212
"80","N_791890",9.62710676517403,0.927743486328553
"81","N_791891",4.31118870691552,0.412896451083223
"82","N_791892",8.81110097418203,0.374622037291517
"83","N_791899",11.2403437148268,0.0859896673173147
"84","N_791900",9.53676523185398,0.757842862216167
"85","N_791906",10.3019389473132,0.420216658097436
"86","N_791915",10.6612184234594,0.455081288195242
"87","N_791928",11.0421925345423,0.464547959845734
"88","N_791929",10.7564396635047,0.269324673675761
"89","N_791953",10.6890902029243,0.713709529665161
"90","N_791971",11.4478319550358,0.17395307566918
"91","N_792016",11.4425132732627,0.222515950398717
"92","N_792017",11.4333150791082,0.518412071523151
"93","N_792018",11.4466572742077,0.224380668854288
"94","N_792040",6.78286997818416,0.342378762570901
"95","N_792080",10.0297980432742,0.283904636991675
"96","N_792108",9.29402401622434,0.500507830819626
"97","N_792153",11.3760447559273,0.765346652805287
"98","N_792165",8.68277942975178,0.93015875788115
"99","N_792173",8.75816414690617,0.9559974818331
"100","N_792182",11.4212649062851,0.221707551073156
"101","N_792236",10.4703552530933,0.238869557195212
"102","N_792250",10.6176313126274,0.653962265314775
"103","N_792268",10.3405256003072,0.243104455808594
"104","N_792295",11.2277089012365,0.171363251772384
"105","N_792313",11.0781542124127,0.649911661365496
"106","N_792314",10.9478641201653,0.377358942932773
"107","N_792315",10.6882335737659,0.690836004721084
"108","N_792332",11.3222537265612,0.0749374337286318
"109","N_792343",10.299060756565,0.383061993020636
"110","N_792409",11.3081985874556,0.532827023517519
"111","N_792428",8.95408835059541,0.0398084800151394
"112","N_792429",11.3599853030987,0.199095693854424
"113","N_792460",11.1637790169014,0.776913386222558
"114","N_792487",11.2242455450073,0.320101584356899
"115","N_792497",11.0069429314254,0.262038439925517
"116","N_792498",11.3512212055316,0.323271074201404
"117","N_792516",11.0577560080853,0.151918474352292
"118","N_792524",11.2831733306802,0.653962265314775
"119","N_792525",11.3340571559243,0.360754199189849
"120","N_792588",11.4511066416546,0.168303758128008
"121","N_792589",11.4501376756401,0.259860766075567
"122","N_792647",11.4134127651543,0.387025743028186
"123","N_792655",11.2095268482205,0.15823479200027
"124","N_792662",11.3720155283642,0.229048270383415
"125","N_792731",11.4443162228283,0.489264119451849
"126","N_792732",11.4497039230408,0.148954128559902
"127","N_792814",11.3750833085077,0.292550820398499
"128","N_792823",11.4441706011345,0.202104639940357
"129","N_792908",11.4317690687293,0.653962265314775
"130","N_792917",11.4240889626192,0.349192464574621
"131","N_792918",11.3961132115361,0.596140309729658
"132","N_792919",11.4381016865838,0.157422420560137
"133","N_792966",11.4495773698775,0.421299517623221
"134","N_793054",11.3754648449852,0.827080859921782
"135","N_793055",11.4150022985631,0.304445232416564
"136","N_793056",11.4495710030593,0.422198700873142
"137","N_793130",11.3699265984998,0.634634759483988
"138","N_793131",11.3642945506425,0.696190440716642
"139","N_793161",11.5034480158811,0.30666944186142
"140","N_793162",11.5448715652949,0.723723954372911
"141","N_793189",11.3915182250426,0.299273890522206
"142","N_793260",11.4460259132105,0.0236304625564208
"143","N_793369",11.3384055035346,0.242586700887507
"144","N_793370",11.1796608605345,0.477974425273488
"145","N_793380",11.1707289257063,0.875967396915805
"146","N_793386",11.1434213469446,0.571377236849071
"147","N_793414",11.3452863627162,0.353558744620057
"148","N_793424",11.3102095764906,0.626797326167332
"149","N_793425",11.2547243425554,0.603594409691801
"150","N_793426",11.2036302447577,0.837422625619405
"151","N_793443",10.9963905119766,0.388851233672983
"152","N_793444",11.2145620183164,0.694401033372821
"153","N_793445",11.3452548659463,0.224380668854288
"154","N_793446",11.4476869372127,0.310504016771538
"155","N_793447",11.4437138113864,0.63137656862278
"156","N_793458",10.5806869278974,0.466533053546712
"157","N_793459",11.1788809135747,0.0870648765681059
"158","N_793460",10.0004975400788,0.740818220681718
"159","N_793461",10.850257965111,0.201067042361391
"160","N_793484",11.2429018726558,0.337281406875117
"161","N_793489",11.0050047646695,0.956297019815843
"162","N_793490",11.5682873031235,0.258916693222997
"163","N_793540",9.68613771424107,0.422385167578437
"164","N_793541",11.0945948024405,0.0400315823101981
"165","N_793594",8.42042577706304,0.193941754409682
"166","N_793595",11.1443991136842,0.233606574899563
"167","N_793600",11.1454094074859,0.232509891693838
"168","N_793638",11.2421978072911,0.211858291986012
"169","N_793647",11.4398514346072,0.106356933505373
"170","N_793668",11.07394273402,0.503849698752068
"171","N_793669",10.8444391685686,0.214050504529541
"172","N_793708",11.4014385889045,0.148926887394687
"173","N_793709",11.1794573464781,0.186059181535345
"174","N_793754",11.7527977023914,0.11493587082393
"175","N_793755",11.4562858947791,0.431901191090488
"176","N_793756",11.4563701983889,0.452944875700932
"177","N_793829",10.3483786953254,0.415027184959646
"178","N_793883",7.6653106932488,0.488222102742445
"179","N_793884",10.6124475924757,0.205159060422912
"180","N_793891",9.07390732569127,0.307459700696347
"181","N_793898",7.82542359298062,0.927743486328553
"182","N_793899",10.7035422080121,0.563470887634604
"183","N_793904",6.77289058733979,0.315196684040446
"184","N_793944",13.0500762355671,0.873715911688034
"185","N_793945",9.44367430727725,0.15812217267127
"186","N_793957",13.2211021832344,0.471360523847109
"187","N_793988",11.3862558022164,0.18289875877994
"188","N_793995",11.4462557885634,0.958460999069277
"189","N_793996",11.4517724744537,0.193709415114004
"190","N_794054",11.4582813345014,0.140341670824728
"191","N_794064",11.4651146513815,0.486967233147907
"192","N_794065",11.4716487868667,0.930134195627221
"193","N_794070",11.4637678654263,0.43730165571157
"194","N_794078",8.2889595050241,0.51479856024292
"195","N_794084",6.63254871947934,0.874641091132367
"196","N_794085",11.4499885999682,0.380283724347576
"197","N_794143",10.6296513718619,0.408848235163596
"198","N_794152",9.95506632810827,0.284510577142945
"199","N_794181",11.7955522435314,0.811807184890701
"200","N_794182",11.8505576512728,0.465539448624631
"201","N_794183",9.42332918273354,0.488222102742445
"202","N_794245",11.4473272500589,0.203057910198267
"203","N_794258",13.6997273847092,0.540879672752941
"204","N_794267",10.8297719811565,0.117828142287645
"205","N_794276",11.1617668177355,0.14635794202033
"206","N_794277",11.4653200709997,0.182428656975717
"207","N_794294",10.5634969347394,0.286715722308734
"208","N_794320",9.42839402493939,0.33055413094306
"209","N_794321",13.418414094465,0.326471946789279
"210","N_794354",11.4920170805874,0.477254385418512
"211","N_794383",12.0931208957437,0.219106349796403
"212","N_794394",11.5257582865639,0.581507136599896
"213","N_794411",10.5603916675604,0.288195306115232
"214","N_794412",11.4725833759268,0.0830565344660218
"215","N_794463",11.1703326857845,0.31927883228715
"216","N_794539",12.5699293528799,0.397842651440431
"217","N_794564",11.4758268739876,0.186820072119527
"218","N_794662",14.4676253173312,0.313862590100026
"219","N_794663",11.5626038160758,0.147939104747115
"220","N_794664",11.5033375525462,0.0469913279433547
"221","N_794679",12.123279149335,0.496877752001255
"222","N_794683",11.0729402286539,0.0834482885794102
"223","N_794704",11.4418718146574,0.481979925691395
"224","N_794705",11.4402190004075,0.579394524107141
"225","N_794731",12.794978696866,0.346659844522669
"226","N_794739",12.4968014616137,0.711875093283174
"227","N_794799",11.7268200453749,0.286715722308734
"228","N_794855",12.9934280187998,0.416984750463048
"229","N_794871",16.9231002399476,0.0762323248051378
"230","N_794883",11.7283269998145,0.143566843439003
"231","N_794892",11.6235305659467,0.50861394031492
"232","N_794905",15.0668555154961,0.484467161783477
"233","N_794906",18.0870132419171,0.829212170926481
"234","N_794937",11.7608295155318,0.338001269536846
"235","N_794944",11.8880236477035,0.10847354975185
"236","N_794945",12.0599806135368,0.171988083612744
"237","N_794951",11.6759257078232,0.742727240831192
"238","N_794971",21.1457598928355,0.873715911688034
"239","N_794972",22.4799695272861,0.609840128112224
"240","N_794978",12.056248553466,0.335192305603891
"241","N_794989",13.3509236101631,0.553065289289577
"242","N_794997",14.4538431859866,0.479717235569472
"243","N_795020",14.0640405737544,0.837422625619405
"244","N_795118",23.0461576447831,0.631373609835586
"245","N_795123",18.0164956232458,0.540064869908823
"246","N_795139",13.688976505873,0.596719932770682
"247","N_795140",11.4007870908743,0.539489458234122
"248","N_795248",11.3720063847647,0.91923256640683
"249","N_795249",11.4338493929866,0.0423977420466074
"250","N_795307",16.0386355042494,0.35446983285506
"251","N_795339",11.4676861026221,0.257473709829549
"252","N_795340",11.4621630484239,0.125302989143601
"253","N_795480",11.4907771656319,0.193709415114004
"254","N_795488",11.2700303374527,0.201155844881627
"255","N_795489",11.4435907060305,0.111489762332857
"256","N_795499",12.334757005899,0.498689488396016
"257","N_795500",12.7265989215334,0.821957969541407
"258","N_795521",11.4899371164007,0.187501263261444
"259","N_795522",11.4059314882784,0.875967396915805
"260","N_795684",11.5174973628987,0.35280574822058
"261","N_795685",11.4668125245393,0.279554380660952
"262","N_795693",11.5715976410363,0.436370306744448
"263","N_795710",11.6659511151764,0.223327297343637
"264","N_795747",12.9268279185558,0.178409229790621
"265","N_795748",12.5469131045614,0.119375979837751
"266","N_795780",11.9405229384001,0.860707976425058
"267","N_795781",11.7665773459203,0.464342879899342
"268","N_795786",11.5717333532816,0.187901448850384
"269","N_795787",11.841252872719,0.437494792731632
"270","N_795802",11.6219416494304,0.225538575373871
"271","N_795803",17.2165981311463,0.660437480872996
"272","N_795841",11.996046562391,0.137188950442081
"273","N_795842",19.7715754100889,0.758755946048426
"274","N_795843",12.5362707720032,0.0668065236150449
"275","N_795855",13.8159846884389,0.697676326071031
"276","N_795862",14.5845820133858,0.314525389748595
